iter	Passed	Remaining
0	144	144564
1	146	72871
2	147	49101
3	149	37245
4	152	30304
5	154	25619
6	158	22547
7	160	19959
8	162	17873
9	164	16278
10	166	14967
11	168	13859
12	170	12923
13	171	12085
14	172	11349
15	174	10711
16	175	10142
17	176	9639
18	177	9188
19	179	8786
20	180	8419
21	182	8105
22	183	7813
23	185	7543
24	187	7297
25	188	7069
26	190	6858
27	191	6658
28	193	6472
29	194	6294
30	197	6162
31	198	6013
32	200	5864
33	201	5728
34	203	5601
35	204	5476
36	206	5362
37	207	5252
38	208	5149
39	210	5048
40	212	4965
41	214	4890
42	215	4799
43	216	4714
44	218	4633
45	219	4556
46	221	4483
47	222	4413
48	223	4345
49	225	4285
50	227	4227
51	228	4165
52	229	4107
53	231	4050
54	232	3993
55	233	3939
56	234	3886
57	236	3834
58	237	3785
59	238	3739
60	240	3703
61	242	3662
62	243	3620
63	245	3584
64	246	3542
65	247	3502
66	248	3463
67	249	3417
68	250	3380
69	251	3343
70	253	3312
71	254	3278
72	256	3251
73	257	3220
74	258	3190
75	259	3160
76	261	3131
77	262	3102
78	263	3075
79	265	3050
80	266	3026
81	268	3003
82	270	2986
83	272	2966
84	272	2938
85	274	2915
86	275	2888
87	276	2866
88	278	2845
89	279	2825
90	281	2809
91	282	2791
92	284	2773
93	286	2756
94	287	2739
95	288	2720
96	290	2703
97	291	2685
98	293	2668
99	297	2677
100	301	2685
101	303	2668
102	306	2665
103	308	2653
104	310	2647
105	312	2634
106	314	2621
107	316	2612
108	318	2601
109	320	2591
110	321	2577
111	323	2564
112	325	2553
113	327	2544
114	337	2594
115	338	2579
116	340	2566
117	341	2553
118	343	2540
119	345	2532
120	347	2523
121	349	2514
122	350	2497
123	352	2488
124	354	2479
125	356	2469
126	358	2467
127	361	2463
128	363	2455
129	366	2451
130	368	2446
131	370	2437
132	372	2430
133	374	2422
134	378	2422
135	380	2415
136	382	2408
137	385	2410
138	388	2403
139	390	2397
140	393	2398
141	396	2393
142	398	2387
143	400	2380
144	404	2383
145	406	2378
146	409	2374
147	411	2371
148	413	2362
149	415	2354
150	417	2349
151	425	2373
152	428	2373
153	430	2367
154	432	2360
155	434	2353
156	436	2346
157	439	2342
158	441	2336
159	444	2331
160	446	2326
161	448	2321
162	451	2316
163	455	2322
164	458	2319
165	459	2310
166	461	2304
167	465	2304
168	467	2299
169	470	2296
170	471	2287
171	475	2290
172	478	2288
173	481	2285
174	483	2278
175	486	2278
176	488	2271
177	490	2266
178	492	2259
179	494	2252
180	495	2242
181	503	2261
182	505	2257
183	507	2252
184	510	2247
185	512	2242
186	517	2248
187	518	2240
188	520	2232
189	522	2229
190	540	2289
191	545	2294
192	553	2314
193	557	2315
194	559	2309
195	562	2308
196	565	2304
197	568	2300
198	569	2294
199	571	2287
200	573	2280
201	576	2276
202	581	2282
203	583	2277
204	597	2315
205	599	2310
206	602	2309
207	612	2331
208	614	2325
209	617	2323
210	619	2317
211	621	2311
212	623	2304
213	628	2307
214	630	2301
215	632	2296
216	635	2292
217	637	2286
218	640	2285
219	644	2283
220	645	2276
221	647	2270
222	650	2266
223	652	2259
224	654	2254
225	656	2247
226	657	2240
227	658	2231
228	660	2222
229	661	2213
230	662	2204
231	663	2196
232	664	2188
233	665	2179
234	668	2174
235	669	2167
236	672	2163
237	673	2156
238	675	2149
239	676	2142
240	677	2134
241	678	2125
242	679	2117
243	680	2109
244	682	2102
245	683	2094
246	684	2087
247	686	2081
248	687	2073
249	688	2065
250	689	2058
251	690	2050
252	692	2043
253	693	2035
254	694	2029
255	695	2022
256	697	2015
257	698	2008
258	699	2001
259	701	1995
260	702	1989
261	703	1982
262	705	1975
263	706	1969
264	707	1962
265	708	1956
266	710	1949
267	711	1942
268	712	1935
269	713	1928
270	715	1923
271	716	1917
272	717	1910
273	718	1903
274	719	1897
275	721	1891
276	723	1887
277	724	1881
278	725	1875
279	727	1870
280	728	1863
281	729	1858
282	731	1852
283	732	1846
284	733	1840
285	735	1834
286	736	1828
287	737	1822
288	738	1816
289	739	1810
290	740	1804
291	741	1798
292	742	1792
293	744	1788
294	745	1782
295	747	1776
296	748	1770
297	750	1767
298	751	1762
299	752	1756
300	754	1751
301	755	1746
302	756	1740
303	757	1734
304	759	1730
305	760	1725
306	762	1720
307	763	1714
308	764	1709
309	765	1703
310	766	1698
311	767	1692
312	768	1687
313	769	1681
314	770	1676
315	772	1671
316	773	1667
317	774	1662
318	776	1656
319	777	1651
320	778	1646
321	779	1641
322	780	1636
323	781	1630
324	782	1625
325	783	1620
326	784	1615
327	786	1610
328	787	1605
329	788	1601
330	790	1596
331	791	1591
332	792	1587
333	794	1583
