iter	Passed	Remaining
0	1	1460
1	2	1314
2	4	1535
3	6	1526
4	7	1490
5	8	1439
6	9	1392
7	10	1361
8	12	1334
9	13	1323
10	14	1308
11	15	1293
12	16	1284
13	19	1392
14	20	1377
15	22	1365
16	23	1354
17	24	1344
18	25	1333
19	27	1326
20	28	1321
21	29	1310
22	30	1302
23	31	1297
24	33	1289
25	35	1321
26	37	1339
27	38	1331
28	39	1321
29	40	1314
30	41	1306
31	42	1299
32	44	1295
33	45	1288
34	46	1282
35	51	1382
36	52	1373
37	53	1365
38	55	1357
39	56	1349
40	57	1342
41	58	1339
42	59	1332
43	61	1326
44	62	1319
45	65	1356
46	66	1355
47	68	1351
48	69	1344
49	70	1337
50	71	1331
51	72	1326
52	73	1320
53	75	1313
54	76	1311
55	81	1374
56	82	1370
57	84	1367
58	85	1365
59	86	1358
60	87	1351
61	88	1345
62	90	1339
63	91	1333
64	92	1335
65	95	1346
66	96	1343
67	97	1339
68	98	1333
69	99	1327
70	101	1321
71	102	1316
72	103	1312
73	104	1306
74	105	1302
75	106	1297
76	111	1332
77	112	1328
78	113	1323
79	114	1319
80	115	1313
81	116	1309
82	117	1298
83	118	1293
84	120	1294
85	121	1295
86	124	1309
87	126	1308
88	127	1305
89	128	1300
90	129	1295
91	130	1292
92	132	1287
93	133	1284
94	134	1279
95	135	1275
96	136	1271
97	140	1297
98	142	1293
99	143	1289
100	144	1284
101	145	1280
102	146	1276
103	148	1276
104	149	1276
105	150	1273
106	152	1269
107	154	1279
108	156	1280
109	157	1277
110	158	1273
111	160	1269
112	161	1265
113	162	1263
114	163	1260
115	164	1257
116	165	1252
117	167	1249
118	172	1277
119	173	1274
120	175	1273
121	176	1269
122	177	1268
123	179	1266
124	180	1262
125	181	1259
126	182	1254
127	185	1260
128	186	1258
129	187	1255
130	188	1251
131	189	1248
132	190	1244
133	192	1242
134	193	1238
135	194	1235
136	195	1232
137	196	1229
138	201	1246
139	202	1244
140	203	1240
141	204	1235
142	205	1231
143	206	1228
144	207	1225
145	208	1222
146	210	1218
147	211	1215
148	213	1220
149	215	1220
150	216	1218
151	217	1215
152	219	1213
153	220	1210
154	221	1207
155	222	1204
156	223	1201
157	224	1197
158	225	1194
159	230	1208
160	231	1204
161	232	1201
162	233	1198
163	234	1195
164	235	1192
165	236	1189
166	238	1187
167	239	1184
168	240	1181
169	241	1178
170	244	1183
171	245	1183
172	247	1181
173	248	1178
174	249	1175
175	250	1172
176	251	1169
177	252	1167
178	253	1164
179	254	1161
180	256	1159
181	259	1164
182	260	1162
183	261	1160
184	262	1157
185	263	1154
186	265	1152
187	266	1150
188	267	1147
189	268	1145
190	269	1142
191	270	1140
192	273	1144
193	275	1144
194	277	1143
195	278	1142
196	279	1140
197	280	1137
198	282	1135
199	283	1133
200	284	1130
201	285	1128
202	286	1125
203	291	1138
204	292	1135
205	293	1133
206	295	1130
207	296	1128
208	297	1125
209	298	1123
210	299	1120
211	300	1118
212	302	1119
213	304	1119
214	306	1118
215	307	1115
216	308	1113
217	309	1110
218	310	1108
219	311	1105
220	313	1103
221	314	1100
222	315	1098
223	316	1096
224	325	1119
225	326	1117
226	327	1114
227	328	1112
228	329	1110
229	331	1108
230	332	1105
231	335	1108
232	336	1107
233	337	1105
234	338	1102
235	339	1100
236	340	1097
237	342	1094
238	343	1092
239	344	1090
240	345	1087
241	346	1085
242	351	1094
243	352	1091
244	353	1089
245	354	1086
246	355	1084
247	356	1082
248	358	1080
249	361	1084
250	371	1109
251	373	1109
252	375	1107
253	376	1106
254	378	1104
255	379	1104
256	381	1102
257	383	1101
258	384	1100
259	386	1099
260	387	1097
261	389	1095
262	392	1099
263	394	1100
264	396	1099
265	398	1098
266	399	1096
267	401	1095
268	402	1095
269	405	1095
270	407	1095
271	408	1094
272	410	1093
273	412	1092
274	413	1091
275	415	1090
276	418	1092
277	420	1091
278	422	1090
279	423	1088
280	424	1086
281	425	1083
282	426	1081
283	428	1079
284	429	1077
285	430	1075
286	435	1082
287	437	1080
288	439	1080
289	440	1078
290	442	1077
291	443	1075
292	445	1073
293	449	1078
294	451	1077
295	452	1076
296	454	1074
297	455	1073
298	457	1071
299	458	1069
300	459	1067
301	461	1065
302	467	1075
303	469	1075
304	470	1073
305	472	1071
306	473	1068
307	474	1066
